Listing ID,Title,Price (GEL),Price (USD),Register Date,Year,Month,Year-Month,Condition,Seller Status,Sub-Category,Category,Vehicle Type,Seller Name,Seller Location
10074150,SUZUKI Grand Vitara 1996,25,9,2024-09-18,2024,9,2024-09,New,standard,Spark plug pipe,Spark plug pipe,Car,LERI,"Tbilisi, Tumanianis1"
10101861,FORD / MERCURY / LINCOLN,15,5,2024-09-18,2024,9,2024-09,New,standard,Spark plug pipe,Spark plug pipe,Car,LERI,"Tbilisi, Tumanianis1"
10101874,MAZDA Mazda 3 / CX-5,35,13,2024-09-18,2024,9,2024-09,New,standard,Spark plug pipe,Spark plug pipe,Car,LERI,"Tbilisi, Tumanianis1"
10107865,MAZDA Protege 1998-2004,100,36,2024-09-18,2024,9,2024-09,New,standard,Engine wiring,Engine wiring,Car,LERI,"Tbilisi, Tumanianis1"
10107874,MAZDA MPV / Protege,30,11,2024-09-18,2024,9,2024-09,New,standard,Spark plug pipe,Spark plug pipe,Car,LERI,"Tbilisi, Tumanianis1"
10116192,HYUNDAI / KIA,160,58,2024-09-18,2024,9,2024-09,New,standard,Engine wiring,Engine wiring,Car,LERI,"Tbilisi, Tumanianis1"
10116201,KIA Sorento 2001,180,66,2024-09-18,2024,9,2024-09,New,standard,Engine wiring,Engine wiring,Car,LERI,"Tbilisi, Tumanianis1"
10127821,MAZDA MX-5 2000-2022,30,11,2024-09-18,2024,9,2024-09,New,standard,Spark plug pipe,Spark plug pipe,Car,LERI,"Tbilisi, Tumanianis1"
10138863,NISSAN Altima 1998-2009,80,29,2024-09-18,2024,9,2024-09,New,standard,Torque counter sensor,Torque counter sensor,Car,LERI,"Tbilisi, Tumanianis1"
10138865,INFINITI Q45 2002-2016,80,29,2024-09-18,2024,9,2024-09,New,standard,Torque counter sensor,Torque counter sensor,Car,LERI,"Tbilisi, Tumanianis1"
10164312,MAZDA Premacy / Protege,100,36,2024-09-18,2024,9,2024-09,New,standard,Engine wiring,Engine wiring,Car,LERI,"Tbilisi, Tumanianis1"
10164320,MAZDA Protege 1991-2007,160,58,2024-09-18,2024,9,2024-09,New,standard,Engine wiring,Engine wiring,Car,LERI,"Tbilisi, Tumanianis1"
10164321,MAZDA Premacy / Protege,30,11,2024-09-18,2024,9,2024-09,New,standard,Spark plug pipe,Spark plug pipe,Car,LERI,"Tbilisi, Tumanianis1"
10164335,MAZDA 626 1991-2020,150,55,2024-09-18,2024,9,2024-09,New,standard,Engine wiring,Engine wiring,Car,LERI,"Tbilisi, Tumanianis1"
10164355,FORD / MERCURY,80,29,2024-09-18,2024,9,2024-09,New,standard,Engine wiring,Engine wiring,Car,LERI,"Tbilisi, Tumanianis1"
10164373,MAZDA MPV 1998-2020,200,73,2024-09-18,2024,9,2024-09,New,standard,Engine wiring,Engine wiring,Car,LERI,"Tbilisi, Tumanianis1"
10164411,MAZDA Protege 1997-2021,110,40,2024-09-18,2024,9,2024-09,New,standard,Engine wiring,Engine wiring,Car,LERI,"Tbilisi, Tumanianis1"
10164419,FORD / MAZDA,80,29,2024-09-18,2024,9,2024-09,New,standard,Engine wiring,Engine wiring,Car,LERI,"Tbilisi, Tumanianis1"
10164422,FORD / MAZDA,70,26,2024-09-18,2024,9,2024-09,New,standard,Engine wiring,Engine wiring,Car,LERI,"Tbilisi, Tumanianis1"
10164494,MERCURY / FORD,100,36,2024-09-18,2024,9,2024-09,New,standard,Engine wiring,Engine wiring,Car,LERI,"Tbilisi, Tumanianis1"
10164500,HONDA / ISUZU / OPEL,150,55,2024-09-18,2024,9,2024-09,New,standard,Engine wiring,Engine wiring,Car,LERI,"Tbilisi, Tumanianis1"
10165485,HYUNDAI / KIA,220,80,2024-09-18,2024,9,2024-09,New,standard,Engine wiring,Engine wiring,Car,LERI,"Tbilisi, Tumanianis1"
10165486,HYUNDAI / KIA,220,80,2024-09-18,2024,9,2024-09,New,standard,Engine wiring,Engine wiring,Car,LERI,"Tbilisi, Tumanianis1"
10165548,CHEVROLET / SUZUKI,80,29,2024-09-18,2024,9,2024-09,New,standard,Engine wiring,Engine wiring,Car,LERI,"Tbilisi, Tumanianis1"
10165553,CHEVROLET / SUZUKI,80,29,2024-09-18,2024,9,2024-09,New,standard,Engine wiring,Engine wiring,Car,LERI,"Tbilisi, Tumanianis1"
10165566,KIA Sportage 1991-2016,150,55,2024-09-18,2024,9,2024-09,New,standard,Engine wiring,Engine wiring,Car,LERI,"Tbilisi, Tumanianis1"
10165578,HYUNDAI / KIA,90,33,2024-09-18,2024,9,2024-09,New,standard,Engine wiring,Engine wiring,Car,LERI,"Tbilisi, Tumanianis1"
10165582,HYUNDAI / KIA,90,33,2024-09-18,2024,9,2024-09,New,standard,Engine wiring,Engine wiring,Car,LERI,"Tbilisi, Tumanianis1"
10168230,HONDA Cr-v 2008-2021,80,29,2024-09-18,2024,9,2024-09,New,standard,Ignition Coil,Ignition Coil,Car,LERI,"Tbilisi, Tumanianis1"
10244677,FORD Cougar 0,0,0,2024-09-08,2024,9,2024-09,Old,standard,Brake disc,Brake disc,Car,ნიკა,"Tbilisi, ქვემო ფონიჭალა"
10244679,FORD,0,0,2024-10-06,2024,10,2024-10,Old,standard,Gasoline pump,Gasoline pump,Car,ნიკა,"Tbilisi, ქვემო ფონიჭალა"
10244680,FORD Cougar 1999,80,29,2024-09-11,2024,9,2024-09,Old,standard,Wheel Hub,Wheel Hub,Car,ნიკა,"Tbilisi, ქვემო ფონიჭალა"
10244681,FORD Cougar 1999-2002,200,73,2024-09-27,2024,9,2024-09,Old,standard,Alternator (dynamo),Alternator (dynamo),Car,ნიკა,"Tbilisi, ქვემო ფონიჭალა"
10244684,FORD Cougar 0,0,0,2024-09-07,2024,9,2024-09,Old,standard,Headlight,Headlight,Car,ნიკა,"Tbilisi, ქვემო ფონიჭალა"
10244686,FORD Cougar 0,0,0,2024-09-08,2024,9,2024-09,Old,standard,Control Arm,Control Arm,Car,ნიკა,"Tbilisi, ქვემო ფონიჭალა"
10244697,FORD Cougar 1999-2003,180,66,2024-09-21,2024,9,2024-09,Old,standard,Water radiator,Water radiator,Car,ნიკა,"Tbilisi, ქვემო ფონიჭალა"
10244700,FORD Cougar 0,0,0,2024-10-06,2024,10,2024-10,Old,standard,MIrrors,MIrrors,Car,ნიკა,"Tbilisi, ქვემო ფონიჭალა"
10244702,FORD Cougar 1999-2002,200,73,2024-09-30,2024,9,2024-09,Old,standard,Starter,Starter,Car,ნიკა,"Tbilisi, ქვემო ფონიჭალა"
10245028,FORD Cougar 1998-2003,200,73,2024-10-02,2024,10,2024-10,Old,standard,Axle,Axle,Car,ნიკა,"Tbilisi, ქვემო ფონიჭალა"
10245032,OPEL Zafira 1998-2002,40,15,2024-09-10,2024,9,2024-09,Old,standard,Control Arm,Control Arm,Car,ნიკა,"Tbilisi, ქვემო ფონიჭალა"
10246030,CITROEN Xsara 0,0,0,2024-09-08,2024,9,2024-09,Old,standard,Wheel Hub,Wheel Hub,Car,ნიკა,"Tbilisi, ქვემო ფონიჭალა"
10250071,PEUGEOT 106 1994-1998,70,26,2024-09-09,2024,9,2024-09,Old,standard,Gasoline pump,Gasoline pump,Car,ნიკა,"Tbilisi, ქვემო ფონიჭალა"
10250096,PEUGEOT 106 0,0,0,2024-10-06,2024,10,2024-10,Old,standard,Speedometer,Speedometer,Car,ნიკა,"Tbilisi, ქვემო ფონიჭალა"
10250109,PEUGEOT 106 0,50,18,2024-09-25,2024,9,2024-09,Old,standard,Engine pad,Engine pad,Car,ნიკა,"Tbilisi, ქვემო ფონიჭალა"
10250118,PEUGEOT 106 1994-1999,30,11,2024-10-02,2024,10,2024-10,Old,standard,Brake Caliper,Brake Caliper,Car,ნიკა,"Tbilisi, ქვემო ფონიჭალა"
10250134,PEUGEOT 106 0,0,0,2024-10-05,2024,10,2024-10,Old,standard,Axle,Axle,Car,ნიკა,"Tbilisi, ქვემო ფონიჭალა"
10250152,DAEWOO Lanos 1998-2002,80,29,2024-09-11,2024,9,2024-09,Old,standard,Gasoline pump,Gasoline pump,Car,ნიკა,"Tbilisi, ქვემო ფონიჭალა"
10250163,DAEWOO Lanos 1996-2002,80,29,2024-10-06,2024,10,2024-10,Old,standard,Alternator (dynamo),Alternator (dynamo),Car,ნიკა,"Tbilisi, ქვემო ფონიჭალა"
10250186,DAEWOO Lanos 0,0,0,2024-09-30,2024,9,2024-09,Old,standard,Water radiator,Water radiator,Car,ნიკა,"Tbilisi, ქვემო ფონიჭალა"
10267039,MERCEDES-BENZ C 300 2007-2016,0,0,2024-09-22,2024,9,2024-09,New,standard,Shock Absorber,Shock Absorber,Car,ზურა,Tbilisi
10267068,BMW 325 / 328 / 330 / 335,56,20,2024-09-22,2024,9,2024-09,New,standard,Shock Absorber,Shock Absorber,Car,ზურა,Tbilisi
10267071,BMW 318 / 320 / 328 / 330 / 335,53,19,2024-09-22,2024,9,2024-09,New,standard,Shock Absorber,Shock Absorber,Car,ზურა,Tbilisi
10272243,JEEP / SUBARU,15,5,2024-09-18,2024,9,2024-09,New,standard,Spark plug pipe,Spark plug pipe,Car,LERI,"Tbilisi, Tumanianis1"
10272255,TOYOTA 4Runner 1990-1995,100,36,2024-09-18,2024,9,2024-09,New,standard,Engine wiring,Engine wiring,Car,LERI,"Tbilisi, Tumanianis1"
10272258,TOYOTA Camry 1967-2023,250,91,2024-09-18,2024,9,2024-09,New,standard,Engine wiring,Engine wiring,Car,LERI,"Tbilisi, Tumanianis1"
10272263,TOYOTA / LEXUS,250,91,2024-09-18,2024,9,2024-09,New,standard,Engine wiring,Engine wiring,Car,LERI,"Tbilisi, Tumanianis1"
10272272,TOYOTA 4Runner / Tacoma,270,98,2024-09-18,2024,9,2024-09,New,standard,Engine wiring,Engine wiring,Car,LERI,"Tbilisi, Tumanianis1"
10272278,TOYOTA Corolla 1990-2017,100,36,2024-09-18,2024,9,2024-09,New,standard,Engine wiring,Engine wiring,Car,LERI,"Tbilisi, Tumanianis1"
10272280,TOYOTA / LEXUS,30,11,2024-09-18,2024,9,2024-09,New,standard,Spark plug pipe,Spark plug pipe,Car,LERI,"Tbilisi, Tumanianis1"
10272287,TOYOTA / LEXUS,30,11,2024-09-18,2024,9,2024-09,New,standard,Spark plug pipe,Spark plug pipe,Car,LERI,"Tbilisi, Tumanianis1"
10272292,TOYOTA 4Runner / Tacoma,50,18,2024-09-18,2024,9,2024-09,New,standard,Spark plug pipe,Spark plug pipe,Car,LERI,"Tbilisi, Tumanianis1"
10274073,TOYOTA Camry 2002-2019,0,0,2024-09-22,2024,9,2024-09,New,standard,Shock Absorber,Shock Absorber,Car,ზურა,Tbilisi
10281370,LEXUS RX 330 / RX 350 / RX 450,0,0,2024-09-22,2024,9,2024-09,New,standard,Shock Absorber,Shock Absorber,Car,ზურა,Tbilisi
10281375,BMW X5 / X6,61,22,2024-09-22,2024,9,2024-09,New,standard,Shock Absorber,Shock Absorber,Car,ზურა,Tbilisi
